"행정구역별","각세별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","54세","총전출","","87130","101587","110822","95048","92575","84443",
"전국","54세","순이동","","0","0","0","0","0","0",
"전국","54세","시군구간전입","","25603","29355","32160","27129","27071","24631",
"전국","54세","시군구간전출","","25603","29355","32160","27129","27071","24631",
"전국","54세","시도간전입","","26604","30773","33046","28425","27642","25170",
"전국","54세","시도간전출","","26604","30773","33046","28425","27642","25170",
"전국","55세","총전입","","81637","90136","103831","103598","89920","92150",
"전국","55세","총전출","","81637","90136","103831","103598","89920","92150",
"전국","55세","순이동","","0","0","0","0","0","0",
"전국","55세","시군구간전입","","23748","25933","30407","29409","26014","26683",
"전국","55세","시군구간전출","","23748","25933","30407","29409","26014","26683",
"전국","55세","시도간전입","","25427","27888","31221","31261","27558","27426",
"전국","55세","시도간전출","","25427","27888","31221","31261","27558","27426",
"전국","56세","총전입","","76154","84477","92148","96413","96333","89391",
"전국","56세","총전출","","76154","84477","92148","96413","96333","89391",
"전국","56세","순이동","","0","0","0","0","0","0",
"전국","56세","시군구간전입","","22434","24629","26753","27627","27939","25830",
"전국","56세","시군구간전출","","22434","24629","26753","27627","27939","25830",
"전국","56세","시도간전입","","23978","26326","28043","29377","29406","26938",
"전국","56세","시도간전출","","23978","26326","28043","29377","29406","26938",
"전국","57세","총전입","","70547","78238","85850","86142","90327","96178",
"전국","57세","총전출","","70547","78238","85850","86142","90327","96178",
"전국","57세","순이동","","0","0","0","0","0","0",
"전국","57세","시군구간전입","","20834","23052","25083","24963","26109","27817",
"전국","57세","시군구간전출","","20834","23052","25083","24963","26109","27817",
"전국","57세","시도간전입","","22364","24522","26644","26879","28284","29234",
"전국","57세","시도간전출","","22364","24522","26644","26879","28284","29234",
"전국","58세","총전입","","69656","73075","80443","80588","80334","89345",
"전국","58세","총전출","","69656","73075","80443","80588","80334","89345",
"전국","58세","순이동","","0","0","0","0","0","0",
"전국","58세","시군구간전입","","20788","21330","23656","23260","23174","26112",
"전국","58세","시군구간전출","","20788","21330","23656","23260","23174","26112",
"전국","58세","시도간전입","","22396","23332","25249","25204","25388","27416",
"전국","58세","시도간전출","","22396","23332","25249","25204","25388","27416",
"전국","59세","총전입","","56076","72054","75370","75900","75802","80229",
"전국","59세","총전출","","56076","72054","75370","75900","75802","80229",
"전국","59세","순이동","","0","0","0","0","0","0",
"전국","59세","시군구간전입","","16599","21248","21881","22050","22083","23266",
"전국","59세","시군구간전출","","16599","21248","21881","22050","22083","23266",
"전국","59세","시도간전입","","18382","23132","24414","24012","24145","25250",
"전국","59세","시도간전출","","18382","23132","24414","24012","24145","25250",
"전국","60세","총전입","","54425","58287","75427","72442","72961","76774",
"전국","60세","총전출","","54425","58287","75427","72442","72961","76774",
"전국","60세","순이동","","0","0","0","0","0","0",
"전국","60세","시군구간전입","","16006","17143","22114","21069","21331","22265",
"전국","60세","시군구간전출","","16006","17143","22114","21069","21331","22265",
"전국","60세","시도간전입","","18445","18860","24353","23609","23719","24676",
